Id-Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Release,Version
41,CS41,UnusedDeclaration,,_open,LargeObject,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_4_0,2/1/2008
42,CS42,UnusedDeclaration,,_isSuperuser,AclId,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_4_0,2/1/2008
43,CS43,UnusedDeclaration,,_getColumnName,TupleDesc,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_4_0,2/1/2008
44,CS44,UnusedDeclaration,,_isAtEnd,Portal,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-1_4_0,2/1/2008
45,CS45,UnusedDeclaration,,_isFiredByUpdate,TriggerData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_4_0,2/1/2008
46,CS46,UnusedDeclaration,,_length,LargeObject,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_4_0,2/1/2008
47,CS47,UnusedDeclaration,,_set,PgSavepoint,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/PgSavepoint.java,PgSavepoint.java,pljava,pljava-1_4_0,2/1/2008
48,CS48,UnusedDeclaration,,_getTupleDesc,Relation,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Relation.java,Relation.java,pljava,pljava-1_4_0,2/1/2008
49,CS49,UnusedDeclaration,,_unregister,XactListener,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/XactListener.java,XactListener.java,pljava,pljava-1_4_0,2/1/2008
50,CS50,UnusedDeclaration,,_drop,LargeObject,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_4_0,2/1/2008
51,CS51,UnusedDeclaration,,_forSqlType,Oid,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Oid.java,Oid.java,pljava,pljava-1_4_0,2/1/2008
52,CS52,UnusedDeclaration,,_freeTupTable,SPI,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-1_4_0,2/1/2008
53,CS53,UnusedDeclaration,,_getSqlState,ErrorData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_0,2/1/2008
54,CS54,UnusedDeclaration,,_getCurrent,Invocation,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/Invocation.java,Invocation.java,pljava,pljava-1_4_0,2/1/2008
55,CS55,UnusedDeclaration,,_register,XactListener,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/XactListener.java,XactListener.java,pljava,pljava-1_4_0,2/1/2008
56,CS56,UnusedDeclaration,,_prepare,ExecutionPlan,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ExecutionPlan.java,ExecutionPlan.java,pljava,pljava-1_4_0,2/1/2008
57,CS57,UnusedDeclaration,,_getId,PgSavepoint,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/PgSavepoint.java,PgSavepoint.java,pljava,pljava-1_4_0,2/1/2008
58,CS58,UnusedDeclaration,,_getProcessed,SPI,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-1_4_0,2/1/2008
59,CS59,UnusedDeclaration,,_getDetail,ErrorData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_0,2/1/2008
60,CS60,UnusedDeclaration,,_isFiredForStatement,TriggerData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_4_0,2/1/2008
61,CS61,UnusedDeclaration,,_getStatementCacheSize,Backend,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-1_4_0,2/1/2008
62,CS62,UnusedDeclaration,,_getTupTable,SPI,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-1_4_0,2/1/2008
63,CS63,UnusedDeclaration,,_seek,LargeObject,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_4_0,2/1/2008
64,CS64,UnusedDeclaration,,_getJavaClassName,Oid,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Oid.java,Oid.java,pljava,pljava-1_4_0,2/1/2008
65,CS65,UnusedDeclaration,,_isOutputToServer,ErrorData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_0,2/1/2008
66,CS66,UnusedDeclaration,,_isFiredForEachRow,TriggerData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_4_0,2/1/2008
67,CS67,UnusedDeclaration,,_isOutputToClient,ErrorData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_0,2/1/2008
68,CS68,UnusedDeclaration,,_getContextMessage,ErrorData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_0,2/1/2008
69,CS69,UnusedDeclaration,,_getInternalQuery,ErrorData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_0,2/1/2008
70,CS70,UnusedDeclaration,,_getPortalPos,Portal,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-1_4_0,2/1/2008
71,CS71,UnusedDeclaration,,_create,LargeObject,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_4_0,2/1/2008
72,CS72,UnusedDeclaration,,_log,Backend,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-1_4_0,2/1/2008
73,CS73,UnusedDeclaration,,_close,Portal,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-1_4_0,2/1/2008
74,CS74,UnusedDeclaration,,_move,Portal,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-1_4_0,2/1/2008
75,CS75,UnusedDeclaration,,_getObject,Tuple,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Tuple.java,Tuple.java,pljava,pljava-1_4_0,2/1/2008
76,CS76,UnusedDeclaration,,_getLineno,ErrorData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_0,2/1/2008
77,CS77,UnusedDeclaration,,_getNewTuple,TriggerData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_4_0,2/1/2008
78,CS78,UnusedDeclaration,,_getConfigOption,Backend,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-1_4_0,2/1/2008
79,CS79,UnusedDeclaration,,_setUser,Session,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Session.java,Session.java,pljava,pljava-1_4_0,2/1/2008
80,CS80,UnusedDeclaration,,_writeBytes,SQLOutputToChunk,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/SQLOutputToChunk.java,SQLOutputToChunk.java,pljava,pljava-1_4_0,2/1/2008
81,CS81,UnusedDeclaration,,_execute,ExecutionPlan,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ExecutionPlan.java,ExecutionPlan.java,pljava,pljava-1_4_0,2/1/2008
82,CS82,UnusedDeclaration,,_getName,TriggerData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_4_0,2/1/2008
83,CS83,UnusedDeclaration,,_readBytes,SQLInputFromChunk,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/SQLInputFromChunk.java,SQLInputFromChunk.java,pljava,pljava-1_4_0,2/1/2008
84,CS84,UnusedDeclaration,,_isPosOverflow,Portal,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-1_4_0,2/1/2008
85,CS85,UnusedDeclaration,,_invalidate,ExecutionPlan,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ExecutionPlan.java,ExecutionPlan.java,pljava,pljava-1_4_0,2/1/2008
86,CS86,UnusedDeclaration,,_getCursorPos,ErrorData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_0,2/1/2008
87,CS87,UnusedDeclaration,,_isAtStart,Portal,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-1_4_0,2/1/2008
88,CS88,UnusedDeclaration,,_rollback,PgSavepoint,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/PgSavepoint.java,PgSavepoint.java,pljava,pljava-1_4_0,2/1/2008
89,CS89,UnusedDeclaration,,_getMessage,ErrorData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_0,2/1/2008
90,CS90,UnusedDeclaration,,_clearErrorCondition,Invocation,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/Invocation.java,Invocation.java,pljava,pljava-1_4_0,2/1/2008
91,CS91,UnusedDeclaration,,_forTypeName,Oid,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Oid.java,Oid.java,pljava,pljava-1_4_0,2/1/2008
92,CS92,UnusedDeclaration,,_getColumnIndex,TupleDesc,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_4_0,2/1/2008
93,CS93,UnusedDeclaration,,_getHint,ErrorData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_0,2/1/2008
94,CS94,UnusedDeclaration,,_getArguments,TriggerData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_4_0,2/1/2008
95,CS95,UnusedDeclaration,,_getTypeId,Oid,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Oid.java,Oid.java,pljava,pljava-1_4_0,2/1/2008
96,CS96,UnusedDeclaration,,_getErrorLevel,ErrorData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_0,2/1/2008
97,CS97,UnusedDeclaration,,_getFilename,ErrorData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_0,2/1/2008
98,CS98,UnusedDeclaration,,_tell,LargeObject,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_4_0,2/1/2008
99,CS99,UnusedDeclaration,,_isFiredBefore,TriggerData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_4_0,2/1/2008
100,CS100,UnusedDeclaration,,_write,LargeObject,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_4_0,2/1/2008
101,CS101,UnusedDeclaration,,_getTriggerTuple,TriggerData,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_4_0,2/1/2008
102,CS102,UnusedDeclaration,,_isCursorPlan,ExecutionPlan,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/ExecutionPlan.java,ExecutionPlan.java,pljava,pljava-1_4_0,2/1/2008
103,CS103,UnusedDeclaration,,_getSchema,Relation,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Relation.java,Relation.java,pljava,pljava-1_4_0,2/1/2008
104,CS104,UnusedImplementation,,isCallingJava,Backend,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-1_4_0,2/1/2008
105,CS105,UnusedParameters,sql,prepareStatement,SPIConnection,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/SPIConnection.java,SPIConnection.java,pljava,pljava-1_4_0,2/1/2008
106,CS106,UnusedParameters,x,updateObject,ReadOnlyResultSet,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/ReadOnlyResultSet.java,ReadOnlyResultSet.java,pljava,pljava-1_4_0,2/1/2008
107,CS107,UnusedParameters,url,getPropertyInfo,SPIDriver,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/SPIDriver.java,SPIDriver.java,pljava,pljava-1_4_0,2/1/2008
108,CS108,UnusedParameters,dims,visitMultiANewArrayInsn,DefaultMethodVisitor,org.postgresql.pljava.sqlgen,pljava-1_4_0/src/java5/pljava/org/postgresql/pljava/sqlgen/DefaultMethodVisitor.java,DefaultMethodVisitor.java,pljava,pljava-1_4_0,2/1/2008
109,CS109,UnusedParameters,version,visit,PLJavaClassVisitor,org.postgresql.pljava.sqlgen,pljava-1_4_0/src/java5/pljava/org/postgresql/pljava/sqlgen/PLJavaClassVisitor.java,PLJavaClassVisitor.java,pljava,pljava-1_4_0,2/1/2008
110,CS110,UnusedParameters,context,checkPermission,Backend,org.postgresql.pljava.internal,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-1_4_0,2/1/2008
111,CS111,UnusedParameters,tableNamePattern,getSuperTables,SPIDatabaseMetaData,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/SPIDatabaseMetaData.java,SPIDatabaseMetaData.java,pljava,pljava-1_4_0,2/1/2008
112,CS112,UnusedParameters,pos,setCharacterStream,ClobValue,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/ClobValue.java,ClobValue.java,pljava,pljava-1_4_0,2/1/2008
113,CS113,UnusedParameters,desc,visitEnum,DefaultAnnotationVisitor,org.postgresql.pljava.sqlgen,pljava-1_4_0/src/java5/pljava/org/postgresql/pljava/sqlgen/DefaultAnnotationVisitor.java,DefaultAnnotationVisitor.java,pljava,pljava-1_4_0,2/1/2008
114,CS114,UnusedParameters,len,setBytes,BlobValue,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/BlobValue.java,BlobValue.java,pljava,pljava-1_4_0,2/1/2008
115,CS115,UnusedParameters,dflt,visitLookupSwitchInsn,DefaultMethodVisitor,org.postgresql.pljava.sqlgen,pljava-1_4_0/src/java5/pljava/org/postgresql/pljava/sqlgen/DefaultMethodVisitor.java,DefaultMethodVisitor.java,pljava,pljava-1_4_0,2/1/2008
116,CS116,UnusedParameters,useAltRepr,_Type_getJNIReturnSignature,,,pljava-1_4_0/src/C/pljava/type/Type.c,Type.c,pljava,pljava-1_4_0,2/1/2008
117,CS117,UnusedParameters,catalog,getTablePrivileges,SPIDatabaseMetaData,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/SPIDatabaseMetaData.java,SPIDatabaseMetaData.java,pljava,pljava-1_4_0,2/1/2008
118,CS118,UnusedParameters,access,visitField,DefaultClassVisitor,org.postgresql.pljava.sqlgen,pljava-1_4_0/src/java5/pljava/org/postgresql/pljava/sqlgen/DefaultClassVisitor.java,DefaultClassVisitor.java,pljava,pljava-1_4_0,2/1/2008
119,CS119,UnusedParameters,len,truncate,BlobValue,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/BlobValue.java,BlobValue.java,pljava,pljava-1_4_0,2/1/2008
120,CS120,UnusedParameters,visible,visitAnnotation,DefaultMethodVisitor,org.postgresql.pljava.sqlgen,pljava-1_4_0/src/java5/pljava/org/postgresql/pljava/sqlgen/DefaultMethodVisitor.java,DefaultMethodVisitor.java,pljava,pljava-1_4_0,2/1/2008
121,CS121,UnusedParameters,columnIndexes,execute,SPIStatement,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/SPIStatement.java,SPIStatement.java,pljava,pljava-1_4_0,2/1/2008
122,CS122,UnusedParameters,start,position,ClobValue,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/ClobValue.java,ClobValue.java,pljava,pljava-1_4_0,2/1/2008
123,CS123,UnusedParameters,arg0,isNullable,SPIParameterMetaData,org.postgresql.pljava.jdbc,pljava-1_4_0/src/java/pljava/org/postgresql/pljava/jdbc/SPIParameterMetaData.java,SPIParameterMetaData.java,pljava,pljava-1_4_0,2/1/2008
