Dominant Topic,Topics,System,message
,,ztd-jni,skip in multiples of recommendedDOutSize/
,,ztd-jni,"WIP streaming decompression

It fixes the case where the requested reads are not
multiple of the compression block size./"
,,ztd-jni,Simplifications and initial implementation of available()/
,,ztd-jni,"Finish the move to the new Zstd streaming API

On the decoding size we have gained ability to decode
multiple frames but we have lost:
compression decompression
- support for legacy formats bu it will be restored with
  zstd-1.0.0
dictionary
- support for decoding un-finished streams, we have to
  figure out how it will play out with the multi-frame
  support./"
Compression tasks,Compression tasks,ztd-jni,"Add Java wrappers and C implementations of compress/decompress using direct ByteBuffer
dictionary
The wrappers work a bit differently than the ones that operate on byte[] due to the different semantics of ByteBuffer.  I've tried to make this implementation operate on the position(), capacity(), and limit() properties of the buffers in the idiomatic way./inputs checking + utility methods./"
Compression tasks,Compression tasks,ztd-jni,"Reorder the static methods

All compression first then all decompression then the rest/"
API Management,API Management,ztd-jni,"Zstd-1.1.2   ,Move to the new streaming API   ,  "
API Management,API Management,ztd-jni,"Zstd-0.7.4   ,Move to the new streaming API   ,  "
,,ztd-jni,"Zstd-1.2.0   ,  "
Feature migration,Feature migration,ztd-jni,"Zstd-1.1.4   ,  "
Feature migration,Feature migration,ztd-jni,"Upgrade to Zstd-1.1.3   ,"
,,ztd-jni,"  Zstd-1.1.4   ,  "
Feature migration,Feature migration,ztd-jni,"Add dictionary support.   ,"
,,ztd-jni,"Zstd-0.7.0   ,  "
Compression tasks,Compression tasks,ztd-jni,Add compress/decompress for direct ByteBuffers with dicts/
Feature migration,Feature migration,ztd-jni,Import Zstd-1.3.0/
,,ztd-jni,Zstd-1.2.0/
Feature migration,Feature migration,ztd-jni,configure token session
Compression tasks,Compression tasks,ztd-jni,"More work on the dictionary support

Also adding tests for byte[] and direct buffers compression and
decompression using byte[] or pre-compiled dictionaries/"
API Management,API Management,ztd-jni,"Fallback to the system's provided libzstd-jni.so

In this way we can cover systems with incompatible libc implementations
and systems that are not covered by the maven's distributed jar.

Also rename the shared library to libzstd-jni.so in order not to
conflict with the zstd's libzstd.so/"
Feature migration,Feature migration,ztd-jni,Import Zstd-1.3.2/
Feature migration,Feature migration,ztd-jni,Import zstd-1.3.3/
Feature migration,Feature migration,ztd-jni,"Zstd-0.8.0   ,  "
Feature migration,Feature migration,ztd-jni,"Import Zstd-1.3.4   ,  "
,,ztd-jni,"Import zstd-1.3.3   ,  "
Feature migration,Feature migration,ztd-jni,Import Zstd-1.3.4/
Feature migration,Feature migration,ztd-jni,Add support for legacy dictionary trainer/
Data conversion,Data conversion,ztd-jni,"Add support for byte array dicts in the streams

It adds .withDict(byte[] dict) method to all Input/Output stream
implementation.

Next steps: tests, CDict support also/"
Performance management,Performance management,ztd-jni,Small optimization of DictTrainer from direct buffers/
API Management,API Management,ztd-jni,"Revert ""Simplify Native.load() by using Java 7 NIO2 API""

This reverts commit 8dfb4f93586b16d64d10caadd44320cadbe2be96./"
,,ztd-jni,Clean up temporary native library on Linux. Does not work on Windows/
Feature migration,Feature migration,ztd-jni,Import v1.3.6/
Performance management,Performance management,ztd-jni,"Synchronize all state-changing methods

Addresses #82/"
Feature migration,Feature migration,ztd-jni,Import v1.3.8/
Compression tasks,Compression tasks,ztd-jni,Add the ability to specify checksum flag in static compress methods./
Compression tasks,Compression tasks,ztd-jni,"Reorder the static methods

All compression first then all decompression then the rest   ,  inputs checking + utility methods.   ,  "
,,ztd-jni,"Add Java wrappers and C implementations of compress/decompress using direct ByteBuffer blocks

The wrappers work a bit differently than the ones that operate on byte[] due to the different semantics of ByteBuffer.  I've tried to make this implementation operate on the position(), capacity(), and limit() properties of the buffers in the idiomatic way.   ,  Add compress/decompress for direct ByteBuffers with dicts   ,  More work on the dictionary support

Also adding tests for byte[] and direct buffers compression and
decompression using byte[] or pre-compiled dictionaries   ,  "
API Management,"API Management, Compression tasks",ztd-jni,"expose faster API to allow re-using of dictionaries   ,  "
,,ztd-jni,"More work on the dictionary support

Also adding tests for byte[] and direct buffers compression and
decompression using byte[] or pre-compiled dictionaries   ,  "
Compression tasks,Compression tasks,ztd-jni,"Implemented DirectBuffer streaming compressor   ,  "
API Management,"API Management, Compression tasks",ztd-jni,"Add support for InputStream.read()

FilterInputStream forwards read() directly to the underlying stream,
bypassing Zstd entirely.
external library
Extend tests to exercise this for the first byte read in a few test
cases.   ,  "
,,ztd-jni,"Simplifications and initial implementation of available()   ,  "
,,ztd-jni,"WIP streaming decompression
compression decompression
It fixes the case where the requested reads are not
multiple of the compression block size.   ,  "
,,ztd-jni,"Add decompression support for the legacy v04 format   ,  "
,,ztd-jni,"Cleanup the streaming decompression

We still have to fix the first read size magic number.   ,  "
,,ztd-jni,"Finish the move to the new Zstd streaming API

This will also handle the skippable frames corner case
that was not handled correctly previously.   ,  "
API Management,"API Management, Compression tasks",ztd-jni,"Move to the new streaming API   ,  "
,,ztd-jni,"Don't close frames on flush if there is nothing written   ,  "
,,ztd-jni,"Align the JNI names with the new streaming API   ,  "
,,ztd-jni,"Concurrency fix   ,  Use the ZBUFF based streaming compression
external library
It simplifies the whole interaction as the zstd is taking
care of the buffers, blocks and allignments so we don't have
to know anything about its internals.   ,  Make ""flush"" close the frame if ""syncFlush"" is required   ,  "
Performance management,Performance management,ztd-jni,"Use JNI_ABORT on releasing the source buffer critical

It is more clear that the source is not modified   ,  "
,,ztd-jni,"Finish the move to the new Zstd streaming API

On the decoding size we have gained ability to decode
multiple frames but we have lost:

- support for legacy formats bu it will be restored with
  zstd-1.0.0

- support for decoding un-finished streams, we have to
  figure out how it will play out with the multi-frame
  support.   ,  Fix all -Xcheck=jni warnings

Also add tests to validate that we produce the same
bytestream as the zstd binary at different levels (1,3,6,9)   ,  Zstd v0.4.4   ,  "
Performance management,Performance management,ztd-jni,"Use JNI_ABORT on releasing the source buffer critical

It is more clear that the source is not modified   ,  Zstd v0.4.4   ,  Small simplification, "
,,ztd-jni,"memory performance impprovement

We can construct the cursors on the stack and
preserve only the current position in the object   ,  "
Compression tasks,Compression tasks,ztd-jni,"Add Java wrappers and C implementations of compress/decompress using direct ByteBuffer
compression
The wrappers work a bit differently than the ones that operate on byte[] due to the different semantics of ByteBuffer.  I've tried to make this implementation operate on the position(), capacity(), and limit() properties of the buffers in the idiomatic way.   ,  "
Feature migration,Feature migration,ztd-jni,"Add support for legacy format v0.4   ,  Upgrade to Zstd-1.1.3   ,  "
Compression tasks,Compression tasks,ztd-jni,"Upgrade to Zstd-1.1.3   ,  "
,,ztd-jni,"Add compression decompression support for the legacy v04 format   ,  "
Feature migration,Feature migration,ztd-jni,"Add support for legacy dictionary trainer   ,  "
Performance management,Performance management,ztd-jni,"Increase the coverage a bit   ,  "
Performance management,Performance management,ztd-jni,"Small optimization of DictTrainer from direct buffers   ,  "
Performance management,Performance management,ztd-jni,"Make read(buf, offset, len) read at least 1 byte or return -1

This is the default behaviour for InputStream and it's better to follow
it for consistency.

Follow up of the discussion in #75   ,  "
Performance management,Performance management,ztd-jni,"Clean up temporary native library on Linux. Does not work on Windows   ,  "
Memory Management,Memory Management,vlc-android,"libvlcjni: rework exceptions throwing from jni

Throw OutOfMemoryError instead of IllegalStateException for allocation errors.   ,  "
exception Management,exception Management,vlc-android,rework exceptions throwing from jni
Restructuring the code,Restructuring the code,vlc-android,"LibVLC: Helper functions + documentation   ,  "
,,vlc-android,"LibVLC: Implement VideoHelper   ,  "
,,vlc-android,"Refactor video size into ScaleType enum   ,  "
Feature migration,Feature migration,vlc-android,"Integrate DisplayManagaer to LibVLC   ,  "
Memory Management,Memory Management,vlc-android,OutOfMemoryError
API Management,API Management,vlc-android,"Medialibrary: Add playlist & genre callbacks   ,  "
,,vlc-android,"Real track count for Albums and Playlist

Regular count could be out of date   ,  "
,,vlc-android,"Medialibrary: Pagination for audio requests   ,  "
,,vlc-android,"Medialibrary: Check for nullPtr queries   ,  "
,,vlc-android,"Add Medialibrary Folder API   ,  "
Restructuring the code,Restructuring the code,vlc-android,"Medialibrary callbacks refactoring   ,  "
Restructuring the code,Restructuring the code,vlc-android,"Add a callback for ext devices (un)mount   ,  "
Restructuring the code,Restructuring the code,vlc-android,"LibVLC: MediaPlayer: add record() method   ,  "
Restructuring the code,Restructuring the code,vlc-android,"LibVLC: Implement record event   ,  "
Restructuring the code,Restructuring the code,vlc-android,refactor common methods
exception Management,exception Management,vlc-android,Fix UninitializedPropertyAccessException
API Management,API Management,vlc-android,Update API
API Management,API Management,vlc-android,Bump medialibrary version
Restructuring the code,Restructuring the code,vlc-android,Refactor BrowserModel: add a delegate to perform the path operations
Feature migration,Feature migration,vlc-android,Migrate app theme settings
Restructuring the code,Restructuring the code,vlc-android,Refactor empty and loading views in a custom view
API Management,API Management,vlc-android,Medialibrary: folder & video groups equals methods
API Management,API Management,vlc-android,Add new parameter
API Management,API Management,vlc-android,Update libraries versions
API Management,API Management,vlc-android,Video refactor: actions re-implementation
API Management,API Management,vlc-android,Match new API
Restructuring the code,Restructuring the code,vlc-android,Ensure Medialibrary is started only once
API Management,API Management,vlc-android,Video card reorganisation
Restructuring the code,Restructuring the code,vlc-android,Start refactoring video fragments
API Management,API Management,vlc-android,Update libraries dependencies
API Management,API Management,vlc-android,Medialibrary: Match new API changes
Restructuring the code,Restructuring the code,vlc-android,Use a dedicated version number for migrations and code cleanup
Restructuring the code,Restructuring the code,vlc-android,PlaylistManager: code factorization
Restructuring the code,Restructuring the code,vlc-android,"Code cleaning, replace runnables by coroutine call"
Memory Management,Memory Management,Rocksdb,"Fix for 2PC causing WAL to grow too large

Summary:
Consider the following single column family scenario:
prepare in log A
commit in log B
*WAL is too large, flush all CFs to releast log A* memory
*CFA is on log B so we do not see CFA is depending on log A so no flush is requested*
Memory leak
To fix this we must also consider the log containing the prepare section when determining what log a CF is dependent on.
Closes https://github.com/facebook/rocksdb//1768

Differential Revision: D4403265

ed By: reidHoruff

fbshipit-source-id: ce800ff   ,  "
Threads Management,Threads Management,Rocksdb,"Fix CompactFiles() bug when used with CompactionFilter using SuperVersion

Summary:
GetAndRefSuperVersion() should not be called again in the same thread before ReturnAndCleanupSuperVersion() is called.

We solve this issue in the same way Iterator is solving it, but using GetReferencedSuperVersion()

This was discovered in https://github.com/facebook/mysql-5.6/issues/427 by alxyang
Closes https://github.com/facebook/rocksdb//1803


fbshipit-source-id: 5e54322   ,  "
Restructuring the code,Restructuring the code,Rocksdb,"Disable IngestExternalFile in ReadOnly mode

Summary:
Refactor to disable IngestExternalFile() in read only mode
Closes https://github.com/facebook/rocksdb//1781

Differential Revision: D4439179

ed By: IslamAbdelRahman

fbshipit-source-id: b7e46e7   ,  "
Memory Management,Memory Management,Rocksdb,"Flush job should release reference current version if sync log failed memory

Summary:
Fix the bug when sync log fail, FlushJob::Run() will not be execute and
reference to cfd->current() will not be release.
Closes https://github.com/facebook/rocksdb//1792

Differential Revision: D4441316

ed By: yiwu-arbug

fbshipit-source-id: 5523e28   ,  "
Memory Management,Memory Management,Rocksdb,"Change DB::GetApproximateSizes for more flexibility needed for MyRocks

Summary:
Added an option to GetApproximateSizes to exclude file stats, as MyRocks has those counted exactly and we need only stats from memtables.
Closes https://github.com/facebook/rocksdb//1787

Differential Revision: D4441111

ed By: IslamAbdelRahman

fbshipit-source-id: c11f4c3   ,  "
,,Rocksdb,"Add test DBTest2.GetRaceFlush which can expose a data race bug

Summary:
A current data race issue in Get() and Flush() can cause a Get() to return wrong results when a flush happened in the middle. Disable the test for now.
Closes https://github.com/facebook/rocksdb//1813

Differential Revision: D4472310

ed By: siying

fbshipit-source-id: 5755ebd   ,  "
,,Rocksdb,"Range deletions unsupported in tailing iterator

Summary:
change the iterator status to NotSupported as soon as a range tombstone
is encountered by a ForwardIterator.
Closes https://github.com/facebook/rocksdb//1593

Differential Revision: D4246294

ed By: ajkr

fbshipit-source-id: aef9f49   ,  "
,,Rocksdb,"Test merge op covered by range deletion in memtable

Summary:
It's a test case for #1797. Also got rid of kTypeDeletion in the conditional since we treat it the same as kTypeRangeDeletion.
Closes https://github.com/facebook/rocksdb//1800

Differential Revision: D4451300

ed By: ajkr

fbshipit-source-id: b39dda1   ,  "
,,Rocksdb,"Fix DeleteRange including sentinels in output files

Summary:
when writing RangeDelAggregator::AddToBuilder, I forgot that there are sentinel tombstones in the middle of the interval map since gaps between real tombstones are represented with sentinels.

blame: #1614
Closes https://github.com/facebook/rocksdb//1804

Differential Revision: D4460426

ed By: ajkr

fbshipit-source-id: 69444b5   ,  "
,,Rocksdb,"NewLRUCache() to pick number of shard bits based on capacity if not given

Summary:
If the users use the NewLRUCache() without passing in the number of shard bits, instead of using hard-coded 6, we'll determine it based on capacity.
Closes https://github.com/facebook/rocksdb//1584

Differential Revision: D4242517

ed By: siying

fbshipit-source-id: 86b0f18   ,  "
,,Rocksdb,"Cleaner default options using C++11 in-class init

Summary:
C++11 in-class initialization is cleaner and makes it the default more explicit to our users and more visible.
Use it for ColumnFamilyOptions and DBOptions
Closes https://github.com/facebook/rocksdb//1822

Differential Revision: D4490473

ed By: IslamAbdelRahman

fbshipit-source-id: c493a87   ,  "
Threads Management,Threads Management,Rocksdb,"Move ThreadLocal implementation into .cc

Summary: Closes https://github.com/facebook/rocksdb//1829

Differential Revision: D4502314

ed By: siying

fbshipit-source-id: f46fac1   ,  "
,,Rocksdb,"Generalize Env registration framework

Summary:
The Env registration framework supports registering client Envs and selecting which one to instantiate according to a text field. This enabled things like adding the -env_uri argument to db_bench, so the same binary could be reused with different Envs just by changing CLI config.

Now this problem has come up again in a non-Env context, as I want to instantiate a client Statistics implementation from db_bench, which is configured entirely via text parameters. Also, in the future we may wish to use it for deserializing client objects when loading OPTIONS file.

This diff generalizes the Env registration logic to work with arbitrary types.

- Generalized registration and instantiation code by templating them
- The entire implementation is in a header file as that's Google style guide's recommendation for template definitions
- Pattern match with std::regex_match rather than checking prefix, which was the previous behavior
- Rename functions/files to be non-Env-specific
Closes https://github.com/facebook/rocksdb//1776

Differential Revision: D4421933

ed By: ajkr

fbshipit-source-id: 34647d1   ,  "
,,Rocksdb,"Add path to WritableFileWriter. (#4039)

Summary:
We want to sample the file I/O issued by RocksDB and report the function calls. This requires us to include the file paths otherwise it's hard to tell what has been going on.
 Request resolved: https://github.com/facebook/rocksdb//4039

Differential Revision: D8670178

ed By: riversand963

fbshipit-source-id: 97ee806d1c583a2983e28e213ee764dc6ac28f7a   ,  "
,,Rocksdb,"Support pragma once in all header files and cleanup some warnings (#4339)

Summary:
As you know, almost all compilers support ""pragma once"" keyword instead of using include guards. To be keep consistency between header files, all header files are edited.

Besides this, try to fix some warnings about loss of data.
 Request resolved: https://github.com/facebook/rocksdb//4339

Differential Revision: D9654990

ed By: ajkr

fbshipit-source-id: c2cf3d2d03a599847684bed81378c401920ca848   ,  "
,,Rocksdb,"Add path to WritableFileWriter. (#4039)

Summary:
In RocksDB, for a given SST file, all data blocks are compressed with the same dictionary. When we compress a block using the dictionary's raw bytes, the compression library first has to digest the dictionary to get it into a usable form. This digestion work is redundant and ideally should be done once per file.

ZSTD offers APIs for the caller to create and reuse a digested dictionary object (`ZSTD_CDict`). In this PR, we call `ZSTD_createCDict` once per file to digest the raw bytes. Then we use `ZSTD_compress_usingCDict` to compress each data block using the pre-digested dictionary. Once the file's created `ZSTD_freeCDict` releases the resources held by the digested dictionary.

There are a couple other changes included in this PR:

- Changed the parameter object for (un)compression functions from `CompressionContext`/`UncompressionContext` to `CompressionInfo`/`UncompressionInfo`. This avoids the previous pattern, where `CompressionContext`/`UncompressionContext` had to be mutated before calling a (un)compression function depending on whether dictionary should be used. I felt that mutation was error-prone so eliminated it.
- Added support for digested uncompression dictionaries (`ZSTD_DDict`) as well. However, this PR does not support reusing them across uncompression calls for the same file. That work is deferred to a later PR when we will store the `ZSTD_DDict` objects in block cache.
dictionary compression
Differential Revision: D9257078

ed By: ajkr

fbshipit-source-id: 21b8cb6bbdd48e459f1c62343780ab66c0a64438   ,  "
Compression tasks,"Compression tasks, threads management",Rocksdb,"Digest ZSTD compression dictionary once per SST file (#4251)

Summary:
In RocksDB, for a given SST file, all data blocks are compressed with the same dictionary. When we compress a block using the dictionary's raw bytes, the compression library first has to digest the dictionary to get it into a usable form. This digestion work is redundant and ideally should be done once per file.

ZSTD offers APIs for the caller to create and reuse a digested dictionary object (`ZSTD_CDict`). In this PR, we call `ZSTD_createCDict` once per file to digest the raw bytes. Then we use `ZSTD_compress_usingCDict` to compress each data block using the pre-digested dictionary. Once the file's created `ZSTD_freeCDict` releases the resources held by the digested dictionary.

There are a couple other changes included in this PR:

- Changed the parameter object for (un)compression functions from `CompressionContext`/`UncompressionContext` to `CompressionInfo`/`UncompressionInfo`. This avoids the previous pattern, where `CompressionContext`/`UncompressionContext` had to be mutated before calling a (un)compression function depending on whether dictionary should be used. I felt that mutation was error-prone so eliminated it.
- Added support for digested uncompression dictionaries (`ZSTD_DDict`) as well. However, this PR does not support reusing them across uncompression calls for the same file. That work is deferred to a later PR when we will store the `ZSTD_DDict` objects in block cache.
 Request resolved: https://github.com/facebook/rocksdb//4251
compression dictionary
Differential Revision: D9257078

ed By: ajkr

fbshipit-source-id: 21b8cb6bbdd48e459f1c62343780ab66c0a64438   ,  Revert ""Digest ZSTD compression dictionary once per SST file (#4251)"" (#4347)
  ,  "
,,Rocksdb,"Invoke OnTableFileCreated for empty SSTs (#4307)

Summary:
The API comment on `OnTableFileCreationStarted` (https://github.com/facebook/rocksdb/blob/b6280d01f9f9c4305c536dfb804775fce3956280/include/rocksdb/listener.h#L331-L333) led users to believe a call to `OnTableFileCreationStarted` will always be matched with a call to `OnTableFileCreated`. However, we were skipping the `OnTableFileCreated` call in one case: no error happens but also no file is generated since there's no data.

This PR adds the call to `OnTableFileCreated` for that case. The filename will be ""(nil)"" and the size will be zero.

Differential Revision: D9485201

ed By: ajkr

fbshipit-source-id: 2f077ec7913f128487aae2624c69a50762394df6   ,  "
Compression tasks,"Thread management, Compression tasks",Rocksdb,"Revert ""Digest ZSTD compression dictionary once per SST file (#4251)"" (#4347)

Summary:
When reading an expired key using `Get(..., std::string* value)` API, BlobDB first read the index entry and decode expiration from it. In this case, although BlobDB reset the PinnableSlice, the index entry is stored in user provided string `value`. The value will be returned as a garbage value, despite status being NotFound. Fixing it by use a different PinnableSlice to read the index entry.
 Request resolved: https://github.com/facebook/rocksdb//4321

Differential Revision: D9519042

ed By: yiwu-arbug

fbshipit-source-id: f054c951a1fa98265228be94f931904ed7056677   ,  "
,,Rocksdb,"BlobDB: Implement DisableFileDeletions (#4314)


Summary:
In RocksDB, for a given SST file, all data blocks are compressed with the same dictionary. When we compress a block using the dictionary's raw bytes, the compression library first has to digest the dictionary to get it into a usable form. This digestion work is redundant and ideally should be done once per file.
Differential Revision: D9654990
 compression decompression
ed By: ajkr

fbshipit-source-id: c2cf3d2d03a599847684bed81378c401920ca848   ,  "
Memory Management,Memory Management,Rocksdb,"Move MemoryAllocator option from Cache to BlockBasedTableOptions (#4676)

Summary:
Per offline discussion with siying, `MemoryAllocator` and `Cache` should be decouple. The idea is that memory allocator handles memory allocation, while cache handle cache policy.

It is normal that external cache libraries pack couple the two components for better optimization. If we want to integrate with such library in the future, we can make a wrapper of the library implementing both `Cache` and `MemoryAllocator` interface.
 Request resolved: https://github.com/facebook/rocksdb//4676

Differential Revision: D13047662

ed By: yiwu-arbug

fbshipit-source-id: cd42e246d80ab600b4de47d073f7d2db308ce6dd   ,  "
,,Rocksdb,"Revert ""apply ReadOptions.iterate_upper_bound to transaction iterator… (#4705)

Summary:
… (#4656)""

This reverts commit b76398a82bde58bfcfa3ed5ba3dbfb6168c241de.

Will add test coverage for iterate_upper_bound before re-commit b76398
 Request resolved: https://github.com/facebook/rocksdb//4705

Differential Revision: D13148592

ed By: miasantreble

fbshipit-source-id: 4d1ce0bfd9f7a5359a7688bd780eb06a66f45b1f   ,  "
Threads Management,Threads Management,Rocksdb,"Lock free MultiGet (#4754)

Summary:
Avoid locking the DB mutex in order to reference SuperVersions. Instead, we get the thread local cached SuperVersion for each column family in the list. It depends on finding a sequence number that overlaps with all the open memtables. We start with the latest published sequence number, and if any of the memtables is sealed before we can get all the SuperVersions, the process is repeated. After a few times, give up and lock the DB mutex.


Differential Revision: D13363550

ed By: anand1976

fbshipit-source-id: 6243e8de7dbd9c8bb490a8eca385da0c855b1dd4   ,  "
Compression tasks,Compression Tasks,Rocksdb,"Cache dictionary used for decompressing data blocks (#4881)

Summary:
- If block cache disabled or not used for meta-blocks, `BlockBasedTableReader::Rep::uncompression_dict` owns the `UncompressionDict`. It is preloaded during `PrefetchIndexAndFilterBlocks`.
- If block cache is enabled and used for meta-blocks, block cache owns the `UncompressionDict`, which holds dictionary and digested dictionary when needed. It is never prefetched though there is a TODO for this in the code. The cache key is simply the compression dictionary block handle. compression dcompression
- New stats for compression dictionary accesses in block cache: ""BLOCK_CACHE_COMPRESSION_DICT_*"" and ""compression_dict_block_read_count""
 Request resolved: https://github.com/facebook/rocksdb//4881

Differential Revision: D13663801

ed By: ajkr

fbshipit-source-id: bdcc54044e180855cdcc57639b493b0e016c9a3f   ,  "
,,Rocksdb,"Fix ticker stat for number files closed (#4703)

Summary:
We haven't been populating `NO_FILE_CLOSES` since v1.5.8 even though it was never marked as deprecated. Start populating it again. Conveniently `DeleteTableReader` has an unused `void*` argument that we can use...

Blame: 63f216ee0a2a6e28f9dfe24913d134d3a7fa3aca

Closes #4700.
 Request resolved: https://github.com/facebook/rocksdb//4703

Differential Revision: D13146769

ed By: ajkr

fbshipit-source-id: ad8d6fb0493e701f60a165a3bca1787d255be008   ,  "
Memory Management,Memory Management,Rocksdb,"Disallow customized hash function in DynamicBloom (#4915)

Summary:
I didn't find where customized hash function is used in DynamicBloom. This can only reduce performance. Remove it.
 Request resolved: https://github.com/facebook/rocksdb//4915

Differential Revision: D13794452

ed By: siying

fbshipit-source-id: e38669b11e01444d2d782da11c7decabbd851819   ,  "
Threads Management,Threads Management,Rocksdb,"Refactor atomic flush result installation to MANIFEST (#4791)

Summary:
as titled.
Since different bg flush threads can flush different sets of column families
(due to column family creation and drop), we decide not to let one thread
perform atomic flush result installation for other threads. Bg flush threads
will install their atomic flush results sequentially to MANIFEST, using
a conditional variable, i.e. atomic_flush_install_cv_ to coordinate.
 Request resolved: https://github.com/facebook/rocksdb//4791

Differential Revision: D13498930

ed By: riversand963

fbshipit-source-id: dd7482fc41f4bd22dad1e1ef7d4764ef424688d7   ,  "
,,Rocksdb,"PlainTable should avoid copying Get() results from immortal source. (#4924)

Summary:
https://github.com/facebook/rocksdb//4053 avoids memcopy for Get() results if files are immortable
(read-only DB, max_open_files=-1) and the file is ammaped. The same optimization is being applied to PlainTable
here.
 Request resolved: https://github.com/facebook/rocksdb//4924

Differential Revision: D13827749

ed By: siying

fbshipit-source-id: 1f2cbfc530b40ce08ccd53f95f6e78de4d1c2f96   ,  "
,,Rocksdb,"Remove v1 RangeDelAggregator (#4778)

Summary:
Now that v2 is fully functional, the v1 aggregator is removed.
The v2 aggregator has been renamed.
 Request resolved: https://github.com/facebook/rocksdb//4778

Differential Revision: D13495930

ed By: abhimadan

fbshipit-source-id: 9d69500a60a283e79b6c4fa938fc68a8aa4d40d6   ,  "
,,Rocksdb,"Modify FragmentedRangeTombstoneList member layout (#4632)

Summary:
Rather than storing a `vector<RangeTombstone>`, we now store a
`vector<RangeTombstoneStack>` and a `vector<SequenceNumber>`. A
`RangeTombstoneStack` contains the start and end keys of a range tombstone
fragment, and indices into the seqnum vector to indicate which sequence
numbers the fragment is located at. The diagram below illustrates an


This format allows binary searching the tombstone list to use less key
comparisons, which helps in cases where there are many overlapping
tombstones. Also, this format makes it easier to add DBIter-like
semantics to `FragmentedRangeTombstoneIterator` in the future.
 Request resolved: https://github.com/facebook/rocksdb//4632

Differential Revision: D13053103

ed By: abhimadan

fbshipit-source-id: e8220cc712fcf5be4d602913bb23ace8ea5f8ef0   ,  "
Performance management,Performance management,Rocksdb,"Preload some files even if options.max_open_files (#3340)

Summary:
Choose to preload some files if options.max_open_files != -1. This can slightly narrow the gap of performance between options.max_open_files is -1 and a large number. To avoid a significant regression to DB reopen speed if options.max_open_files != -1. Limit the files to preload in DB open time to 16.
 Request resolved: https://github.com/facebook/rocksdb//3340

Differential Revision: D6686945

ed By: siying

fbshipit-source-id: 8ec11bbdb46e3d0cdee7b6ad5897a09c5a07869f   ,  "
,,Rocksdb,"Add a placeholder in manifest indicating ignorable record (#4960)

Summary:
We want to reserve some right that some extra information added manifest
in the future can be forward compatible by previous versions. Now we create a
place holder for that. A bit in tag is added to indicate that a field can be
safely ignored.
 Request resolved: https://github.com/facebook/rocksdb//4960

Differential Revision: D14000484

ed By: siying

fbshipit-source-id: cbf5bad3f9d5ec798f789806f244d1c20d3b66d6   ,  "
